title,price,Model:,Màu sắc:,Nhà sản xuất:,Xuất xứ:,Năm ra mắt :,Thời gian bảo hành:,Địa điểm bảo hành:,Công suất:,Khối lượng quần áo:,Bảng điều khiển:,Chế độ giặt:,Loại máy giặt:,Khối lượng sản phẩm (kg):,Kích thước sản phẩm:
Tủ chăm sóc quần áo thông minh LG Styler S3WF Trắng,37.000.000đ, S3WF , Trắng , LG , Hàn Quốc , 2019 , 12 tháng , Nguyễn Kim , 1500 W , 5.2 kg ," Màn hình LCD, phím bấm cảm ứng "," Chế độ Refresh: Khử mùi, làm mới quần áo; Sanitary: Tiệt trùng không sử dụng hoá chất; Gentle Dry: Làm khô quần áo nhẹ nhàng nhanh gấp 21 lần; Special care: chế độ chăm sóc đặc biệt ", Styler , 60 kg , 445 × 1850 × 585 mm 
Máy giặt Samsung Inverter 10 kg WW10TP44DSB,13.690.000đ, WW10TP44DSB , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ giặt , Cửa trước , 68 kg , 600 x 850 x 550 mm 
Máy giặt Panasonic Inverter 14 kg NA-FD14V1BRV,17.090.000đ, NA-FD14V1BRV , Đen , Panasonic , Việt Nam , 2021 , 2 năm/ 12 năm động cơ , Nguyễn Kim ,,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 51 kg , 554 × 618 × 1050 mm 
Máy giặt Samsung Inverter 12 kg WW12TP94DSB,19.790.000đ, WW12TP94DSB , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 76 kg , 600 x 850 x 650 mm 
Máy giặt Panasonic Inverter 9 kg NA-V90FX1LVT,12.890.000đ, NA-V90FX1LVT , Xám , Panasonic , Việt Nam , 2019 ," 2 năm, 12 năm động cơ ", Nguyễn Kim , 1740W ,,," 15 chương trình (có giặt đồ cotton, giặt hàng ngày, giặt sợi tổng hợp, giặt nhẹ, giặt chăn, giặt đồ cotton dày, giặt nhanh 38 phút, giặt nhanh 15 phút, giặt ngâm, giặt ngừa dị ứng, bùn đất, nước sốt, cổ và tay áo, giặt tăng cường, vệ sinh lồng giặt) ", Cửa trước , 75 kg , 600 × 596 × 845 mm 
Máy giặt Casper 9.5 kg WT-95N68BGA,5.290.000đ, WT-95N68BGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt Casper 8.5 kg WT-85N68BGA,4.490.000đ, WT-85N68BGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt Panasonic Inverter 9.5 kg NA-FS95V7LRV,8.990.000đ, NA-FS95V7LRV ,, Panasonic , Việt Nam ,, 24 Tháng , Việt Nam , 5.2 Wh/kg ,,, 8 chương trình , Cửa trên , 40 kg , 1005 x 554 x 618 mm 
Máy giặt Panasonic Inverter 10 kg NA-V10FX1LVT,14.090.000đ, NA-V10FX1LVT , Xám , Panasonic , Việt Nam , 2019 ," 2 năm, 12 năm động cơ ", Nguyễn Kim , 1740W ,,," 15 chương trình (có giặt đồ cotton, giặt hàng ngày, giặt sợi tổng hợp, giặt nhẹ, giặt chăn, giặt đồ cotton dày, giặt nhanh 38 phút, giặt nhanh 15 phút, giặt ngâm, giặt ngừa dị ứng, bùn đất, nước sốt, cổ và tay áo, giặt tăng cường, vệ sinh lồng giặt) ", Cửa trước , 75 kg , 600 × 596 × 845 mm 
Máy giặt sấy Samsung Inverter 14 kg WD14TP44DSB/SV,21.690.000đ, WD14TP44DSB/SV , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ ,, 80 kg , 600 x 850 x 600 mm 
